,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Present_Age_CST,Customer_Since_year,AcceptedCmp
240,Graduation,Widow,73455.0,0,0,98,901.0,61.0,757,186,163,20,1,6,5,10,3,0,0,56,11,1
241,Graduation,Together,64961.0,0,1,97,382.0,81.0,276,75,124,38,2,6,4,4,3,0,0,66,12,0
242,Graduation,Single,22804.0,1,0,75,14.0,1.0,7,2,1,1,1,2,0,2,9,0,0,53,11,0
243,Graduation,Married,73687.0,0,0,8,559.0,81.0,503,218,13,181,1,3,9,9,2,0,1,34,11,1
244,Graduation,Married,61074.0,0,1,37,789.0,0.0,133,0,28,152,7,11,5,8,7,0,0,66,12,0
245,PhD,Married,31686.0,1,1,31,11.0,0.0,5,0,0,1,2,1,0,3,6,0,0,60,10,0
246,Graduation,Married,80134.0,1,0,40,1218.0,16.0,272,104,0,80,2,5,3,6,6,0,1,52,11,3
247,Graduation,Married,75027.0,0,1,74,925.0,64.0,179,133,12,77,2,9,4,6,5,0,0,71,11,0
248,PhD,Married,67546.0,0,0,90,864.0,81.0,768,150,38,172,1,4,10,5,3,0,0,36,12,0
249,Master,Together,65176.0,0,1,57,960.0,28.0,183,220,70,70,4,9,6,6,6,0,0,55,12,0
250,Master,Single,31160.0,1,0,59,16.0,3.0,25,6,1,13,2,2,0,3,8,0,0,49,11,0
251,Graduation,Single,29938.0,1,0,52,3.0,3.0,7,0,2,11,2,1,0,3,6,0,0,39,11,0
252,Graduation,Divorced,102692.0,0,0,5,168.0,81.0,444,32,172,148,1,6,9,13,2,0,1,50,11,4
253,2n Cycle,Together,26490.0,0,0,92,45.0,47.0,52,21,20,25,2,3,1,5,6,0,0,66,12,0
254,Graduation,Together,75702.0,1,1,77,650.0,28.0,353,45,42,30,5,4,6,11,8,0,0,57,12,0
255,PhD,Single,30899.0,1,0,35,24.0,0.0,8,0,0,1,2,1,0,3,6,0,0,50,12,0
256,PhD,Together,63342.0,0,1,48,918.0,21.0,118,13,10,21,3,8,3,5,6,0,0,63,12,1
257,Graduation,Single,45989.0,0,1,97,138.0,33.0,87,28,24,12,4,3,2,7,3,0,0,60,12,0
258,Graduation,Single,18701.0,1,1,95,12.0,4.0,2,10,6,10,4,2,0,4,5,0,0,60,11,0
259,PhD,Single,40737.0,2,1,24,11.0,0.0,4,0,0,2,1,1,0,2,8,0,0,67,11,0
260,Graduation,Divorced,15287.0,1,0,60,1.0,2.0,8,4,3,13,2,1,1,2,7,0,1,45,12,1
261,PhD,Divorced,69674.0,0,2,46,554.0,41.0,215,11,0,24,3,10,2,10,5,0,0,56,11,0
262,Master,Married,44159.0,1,0,85,167.0,2.0,62,24,13,7,4,4,1,6,5,0,0,54,10,0
263,PhD,Married,37717.0,1,0,31,9.0,0.0,6,4,1,5,1,1,0,2,9,0,0,46,12,0
264,Master,Together,43776.0,1,1,9,177.0,2.0,71,3,2,20,6,5,2,4,8,0,1,72,11,0
265,Master,Married,38179.0,1,1,30,38.0,4.0,22,4,2,20,4,3,1,3,7,0,0,58,11,0
266,Graduation,Married,80124.0,0,0,47,483.0,81.0,398,205,84,241,1,3,7,8,1,0,0,61,10,1
267,PhD,Married,38097.0,1,1,70,77.0,2.0,35,0,1,69,4,3,2,2,7,0,1,54,12,1
268,Graduation,Married,72940.0,0,0,13,182.0,74.0,298,162,149,116,1,3,3,6,1,0,0,54,11,0
269,Graduation,Together,22070.0,1,0,11,10.0,7.0,19,8,2,21,2,2,2,2,6,0,0,54,11,0
270,Graduation,Single,69267.0,0,0,31,778.0,44.0,499,95,73,146,2,3,4,5,7,0,1,71,12,0
271,Master,Single,31788.0,1,0,15,16.0,7.0,23,0,8,6,3,3,0,4,5,1,0,41,10,0
272,PhD,Together,61905.0,0,1,2,167.0,0.0,43,6,2,13,2,4,2,4,5,0,0,49,10,0
273,Graduation,Married,29315.0,1,1,55,13.0,2.0,14,8,7,4,4,2,0,4,6,0,0,64,10,0
274,Graduation,Divorced,33378.0,1,1,38,33.0,6.0,40,3,7,10,3,2,0,4,7,0,0,61,11,0
275,PhD,Together,66313.0,0,1,86,625.0,7.0,99,10,22,7,2,6,3,12,4,0,0,61,11,0
276,Graduation,Single,60714.0,0,0,56,216.0,81.0,224,101,92,162,2,7,4,10,5,0,1,68,11,0
277,Master,Together,77882.0,0,0,29,68.0,81.0,396,188,22,15,1,3,3,5,1,0,0,43,10,0
278,PhD,Single,69867.0,0,0,30,196.0,0.0,512,33,130,54,1,3,5,8,1,0,1,38,11,1
279,Master,Divorced,63841.0,0,1,64,635.0,15.0,100,20,7,131,1,9,3,9,6,0,0,56,11,0
280,Basic,Married,24480.0,1,0,46,4.0,19.0,9,28,25,17,3,3,0,4,7,0,0,43,11,0
281,Graduation,Together,51369.0,0,1,84,297.0,7.0,79,0,11,182,2,8,2,4,8,0,0,48,12,0
282,Graduation,Together,37760.0,0,0,20,84.0,5.0,38,150,12,28,2,4,1,6,7,0,0,78,12,0
283,PhD,Together,65640.0,0,1,74,204.0,7.0,149,20,15,66,1,5,1,8,2,0,0,50,10,0
284,Master,Married,44319.0,1,1,18,26.0,0.0,8,0,0,3,2,2,0,3,5,0,0,49,10,0
285,Graduation,Married,30631.0,1,0,75,15.0,6.0,20,4,5,20,1,3,1,2,7,0,0,50,11,0
286,Graduation,Together,75278.0,0,0,17,304.0,81.0,230,150,74,74,1,6,3,13,3,0,0,72,11,0
287,Master,Together,50898.0,1,1,88,285.0,28.0,242,55,114,135,13,6,2,12,5,0,0,68,11,0
288,Graduation,Widow,79946.0,0,0,19,395.0,81.0,565,166,141,28,1,5,11,5,3,0,0,58,10,0
289,Master,Divorced,35416.0,0,0,62,248.0,3.0,81,4,3,51,3,7,1,5,8,0,0,75,11,0
290,2n Cycle,Together,32414.0,0,0,11,20.0,6.0,5,0,9,12,1,1,0,3,7,0,0,40,11,1
291,Graduation,Together,38361.0,1,0,74,39.0,0.0,56,20,8,14,3,3,1,3,7,0,0,55,11,0
292,Graduation,Married,82497.0,0,0,32,777.0,81.0,573,216,21,203,1,2,7,9,4,0,0,44,12,1
293,Graduation,Together,16626.0,2,0,76,8.0,3.0,22,21,1,13,3,3,0,3,9,0,0,53,10,0
294,Graduation,Together,29672.0,1,1,6,9.0,1.0,3,0,4,8,1,0,0,3,6,0,0,59,11,0
295,Master,Together,55951.0,0,1,62,1225.0,0.0,80,0,13,40,3,3,6,11,8,0,0,72,12,2
296,2n Cycle,Divorced,35388.0,1,0,20,6.0,4.0,7,4,3,8,1,1,0,3,7,0,0,36,11,0
297,Master,Together,42386.0,1,0,43,65.0,4.0,16,0,4,11,1,3,0,3,8,0,0,38,11,0
298,Graduation,Single,68627.0,0,0,45,395.0,15.0,263,60,54,38,1,2,3,6,1,0,0,42,11,0
299,PhD,Divorced,57912.0,0,1,34,801.0,0.0,80,0,0,35,5,8,3,12,5,0,0,59,10,1
300,Graduation,Divorced,35246.0,1,1,53,36.0,0.0,12,2,2,10,4,3,1,3,5,0,0,66,10,0
301,2n Cycle,Together,58821.0,0,1,44,513.0,14.0,154,19,0,28,1,9,2,9,6,0,0,68,11,0
302,PhD,Married,46377.0,1,0,89,37.0,0.0,46,4,3,0,1,2,1,3,4,0,0,46,10,0
303,Graduation,Single,39747.0,1,0,43,80.0,15.0,93,20,13,52,3,5,1,4,8,0,0,36,10,0
304,Graduation,Together,23976.0,1,0,68,14.0,1.0,21,2,3,25,3,3,1,3,7,0,0,40,11,0
305,Master,Married,80950.0,0,0,44,525.0,81.0,112,219,147,63,1,6,7,9,2,0,0,63,11,1
306,Graduation,Widow,27038.0,0,0,64,1.0,26.0,25,17,23,15,1,3,0,3,9,0,1,58,12,0
307,Graduation,Single,77457.0,0,0,85,675.0,11.0,400,15,45,11,1,2,5,10,1,0,0,77,10,1
308,Master,Married,64100.0,0,1,93,509.0,0.0,27,0,0,10,1,8,3,6,7,0,0,60,11,1
309,Master,Together,42670.0,0,0,12,154.0,2.0,46,20,4,15,1,4,2,4,4,0,0,32,11,0
310,Graduation,Divorced,12571.0,1,0,86,3.0,5.0,14,2,12,17,4,3,1,3,6,0,0,48,10,0
311,Graduation,Married,22574.0,2,1,28,25.0,0.0,8,2,0,2,2,2,0,3,7,0,0,57,11,0
312,Graduation,Married,51381.5,0,0,69,861.0,81.0,461,60,30,61,1,6,5,12,3,0,0,35,11,2
313,Master,Single,70893.0,0,0,42,768.0,44.0,561,77,44,14,1,6,6,10,3,0,0,48,11,0
314,Graduation,Married,54198.0,1,1,13,185.0,0.0,28,3,2,17,6,3,1,6,4,0,0,58,11,0
315,Master,Together,28839.0,1,1,86,24.0,0.0,7,0,0,1,2,2,0,3,5,0,0,68,10,0
316,Graduation,Married,40321.0,1,1,59,44.0,4.0,21,6,0,27,2,3,0,3,7,0,0,52,11,0
317,Graduation,Single,66503.0,1,0,30,91.0,64.0,128,65,3,50,2,4,3,6,3,0,0,39,12,0
318,Graduation,Married,30833.0,1,1,33,11.0,0.0,7,3,1,6,2,1,0,3,5,0,0,73,11,0
319,Graduation,Single,51381.5,1,2,67,738.0,20.0,172,52,50,20,6,2,3,10,7,0,0,54,11,2
320,Graduation,Married,64795.0,0,1,23,412.0,5.0,119,38,29,77,3,3,3,12,2,0,0,53,11,0
321,Graduation,Married,34421.0,1,0,81,3.0,3.0,7,6,2,9,1,1,0,2,7,0,0,50,11,0
322,PhD,Divorced,47025.0,1,1,6,16.0,0.0,3,0,0,1,1,1,0,2,7,0,0,59,10,0
323,PhD,Divorced,64325.0,0,1,41,731.0,60.0,353,78,12,73,5,10,3,5,7,0,0,63,11,0
324,Graduation,Single,40464.0,0,1,78,424.0,17.0,118,7,23,41,6,8,2,8,8,0,0,71,11,0
325,Graduation,Married,62187.0,0,0,49,792.0,0.0,275,45,45,126,1,4,8,5,3,0,0,67,11,0
326,PhD,Divorced,14849.0,1,0,39,21.0,2.0,28,3,2,9,3,2,0,4,8,0,0,48,11,0
327,Graduation,Married,27255.0,1,0,3,22.0,1.0,11,0,1,2,1,1,0,3,7,0,0,40,11,0
328,PhD,Married,54432.0,2,1,37,33.0,0.0,5,0,0,0,1,1,0,3,4,0,0,74,11,0
329,PhD,Single,29999.0,1,0,22,68.0,7.0,59,10,5,11,4,3,1,4,8,0,0,38,11,0
330,Graduation,Single,24072.0,1,0,79,9.0,1.0,6,3,0,4,1,1,0,2,8,0,0,41,11,0
331,PhD,Single,33996.0,0,0,46,40.0,2.0,15,8,0,6,1,1,1,3,4,0,0,35,11,0
332,PhD,Married,66334.0,0,1,82,909.0,11.0,218,0,0,23,2,9,3,5,5,0,1,68,11,0
333,Master,Married,35178.0,1,0,10,23.0,1.0,13,2,2,18,1,1,1,2,7,0,1,53,11,1
334,Graduation,Together,22010.0,1,0,51,11.0,2.0,9,3,0,8,2,2,0,3,8,0,0,41,11,0
335,Graduation,Divorced,62204.0,0,2,38,317.0,46.0,247,151,46,139,1,4,5,12,3,0,0,64,12,0
336,Graduation,Divorced,75693.0,0,0,10,797.0,81.0,293,72,97,30,1,11,4,6,4,0,1,56,12,3
337,Graduation,Married,30675.0,1,0,14,10.0,2.0,16,11,2,21,1,1,0,3,8,0,0,52,12,0
338,Graduation,Together,83003.0,0,0,18,856.0,61.0,570,40,25,122,1,7,6,8,3,0,1,59,11,1
339,PhD,Together,83532.0,0,0,36,755.0,81.0,562,104,64,224,1,4,6,4,1,0,0,125,11,1
340,Graduation,Single,68655.0,0,0,95,456.0,19.0,832,75,118,38,1,4,5,11,3,0,0,36,12,0
341,Graduation,Divorced,41411.0,0,0,11,37.0,32.0,38,11,3,18,1,2,1,4,6,0,0,38,11,0
342,PhD,Married,55212.0,0,1,65,1103.0,0.0,45,0,0,34,3,4,2,11,8,0,0,55,12,2
343,PhD,Together,59292.0,0,1,71,378.0,14.0,68,19,14,14,2,3,5,8,3,0,0,74,11,0
344,Basic,Together,27190.0,1,0,13,1.0,6.0,7,0,1,3,1,1,0,2,8,0,1,51,11,1
345,Graduation,Divorced,82623.0,0,0,58,204.0,34.0,204,172,153,173,1,2,9,4,1,0,0,72,11,0
346,Graduation,Married,44300.0,1,1,65,30.0,0.0,9,0,0,3,2,1,0,3,6,0,0,59,11,0
347,Graduation,Divorced,84835.0,0,0,0,189.0,81.0,379,111,189,218,1,4,4,6,1,0,1,54,10,0
348,Graduation,Widow,30372.0,1,1,33,15.0,0.0,12,7,3,7,3,2,0,3,7,0,0,53,12,0
349,Master,Married,33181.0,1,0,90,9.0,0.0,3,0,0,4,1,1,0,2,6,0,0,48,10,1
350,Graduation,Married,71113.0,0,1,95,495.0,33.0,255,11,33,8,4,6,7,9,4,0,0,67,11,0
351,Graduation,Married,71952.0,1,0,93,656.0,80.0,455,52,107,93,2,8,4,8,4,0,0,38,11,2
352,PhD,Single,69759.0,0,0,38,452.0,20.0,514,13,30,0,3,4,6,5,3,0,1,58,11,0
353,Graduation,Married,72099.0,0,0,18,546.0,81.0,410,119,0,22,1,3,4,10,1,0,0,50,12,0
354,PhD,Single,60000.0,0,1,57,1048.0,0.0,217,0,0,12,5,11,3,5,6,0,0,48,12,0
355,Graduation,Single,38643.0,1,1,45,22.0,2.0,14,0,1,10,2,2,0,3,7,1,0,46,11,0
356,Graduation,Married,50737.0,0,1,61,78.0,0.0,11,0,0,10,1,2,0,4,6,0,0,69,11,1
357,PhD,Married,68462.0,0,0,6,561.0,64.0,785,84,128,48,1,3,3,8,1,0,0,55,12,0
358,Master,Married,65073.0,0,0,65,629.0,17.0,177,69,0,8,1,5,3,5,2,1,0,81,11,0
359,PhD,Together,46681.0,0,2,52,269.0,15.0,69,15,19,38,2,4,6,4,5,0,0,76,11,0
360,Graduation,Married,78618.0,0,0,87,736.0,81.0,818,212,163,61,1,4,7,10,2,0,0,67,12,1
361,PhD,Widow,62187.0,0,1,38,512.0,0.0,83,0,0,41,3,6,2,10,4,0,0,55,10,0
362,Graduation,Married,28442.0,2,0,53,19.0,3.0,10,11,8,6,3,2,1,4,4,0,0,46,10,0
363,PhD,Married,37717.0,1,0,31,9.0,0.0,6,4,1,5,1,1,0,2,9,0,0,46,12,0
364,Graduation,Married,51479.0,1,1,67,247.0,8.0,160,6,8,65,7,6,3,6,7,0,0,57,12,0
365,Graduation,Single,54803.0,0,1,65,404.0,0.0,92,28,27,142,2,6,2,9,4,0,0,55,12,0
366,Graduation,Married,79530.0,0,0,64,333.0,0.0,815,129,42,29,1,4,10,11,2,0,0,64,11,0
367,Graduation,Divorced,31615.0,1,0,82,2.0,3.0,20,6,11,9,2,2,0,3,7,0,0,48,11,0
368,Graduation,Together,72025.0,0,0,27,833.0,33.0,549,151,133,233,1,4,3,8,3,0,0,62,12,0
369,PhD,Single,52614.0,0,1,63,789.0,0.0,142,12,9,38,2,2,4,8,8,0,0,49,12,0
370,2n Cycle,Married,35684.0,1,0,66,10.0,4.0,7,0,6,3,1,1,0,3,6,0,0,40,10,0
371,Graduation,Married,48178.0,1,1,69,159.0,4.0,45,6,2,38,6,5,1,4,8,0,0,49,12,0
372,Master,Single,29548.0,1,0,52,7.0,1.0,6,3,1,11,1,1,1,2,4,0,0,54,11,1
373,Graduation,Single,63810.0,0,1,45,977.0,12.0,253,16,12,101,4,4,3,12,8,0,0,58,12,1
374,PhD,Single,38578.0,1,1,2,38.0,4.0,22,3,3,3,3,3,0,3,8,0,1,52,11,0
375,Master,Single,46098.0,1,1,86,57.0,0.0,27,0,0,36,4,3,2,2,8,0,0,49,12,0
376,Graduation,Single,22585.0,0,0,23,3.0,9.0,15,13,2,39,1,1,1,2,9,0,1,54,11,1
377,Graduation,Single,30279.0,1,0,13,10.0,4.0,14,4,4,1,1,1,0,3,8,0,0,35,12,0
378,PhD,Together,66426.0,0,1,14,1043.0,24.0,97,32,24,157,2,3,5,10,6,0,0,63,11,0
379,Graduation,Single,30822.0,1,0,92,3.0,9.0,13,2,12,12,1,1,0,3,7,0,0,55,11,0
380,PhD,Married,33581.0,2,0,38,11.0,0.0,5,0,0,1,1,1,0,2,8,0,0,55,11,0
381,Graduation,Married,19986.0,1,0,74,3.0,6.0,5,0,2,6,1,0,0,3,7,0,0,39,11,0
382,Graduation,Widow,27421.0,0,0,14,43.0,12.0,96,78,40,55,3,4,1,6,7,0,0,70,12,0
383,2n Cycle,Married,35688.0,2,1,94,73.0,3.0,90,12,1,32,7,4,1,4,8,0,0,51,12,0
384,Master,Single,36143.0,1,0,33,12.0,0.0,1,0,0,6,1,0,1,2,3,0,0,43,10,0
385,Graduation,Single,10245.0,1,0,32,4.0,7.0,7,6,4,13,3,1,2,2,5,0,0,53,11,0
386,Master,Together,43795.0,0,1,11,314.0,11.0,53,4,3,107,3,7,3,4,7,0,1,56,11,1
387,Graduation,Together,63381.0,0,1,78,571.0,50.0,142,33,50,159,4,4,5,13,2,0,0,64,12,0
388,Graduation,Together,38823.0,0,1,56,70.0,0.0,11,2,8,23,1,2,1,3,6,0,0,75,12,0
389,PhD,Divorced,83664.0,1,1,57,866.0,21.0,151,28,21,86,3,2,2,12,5,0,0,56,11,0
390,Graduation,Together,90300.0,0,0,7,594.0,81.0,786,33,134,57,0,5,6,8,1,0,0,45,10,1
391,Master,Together,62499.0,1,0,0,140.0,4.0,61,0,13,4,2,3,1,6,4,0,0,45,11,0
392,Graduation,Single,74293.0,0,0,66,375.0,81.0,335,93,91,81,1,5,4,6,2,0,0,31,10,0
393,PhD,Married,51012.0,0,0,86,102.0,9.0,63,2,9,24,1,4,1,4,6,0,0,78,11,0
394,Master,Married,70777.0,0,1,80,554.0,35.0,113,0,7,78,3,5,3,12,3,0,0,56,10,0
395,PhD,Together,68682.0,0,0,56,919.0,0.0,505,99,30,45,1,4,9,10,2,0,0,33,11,0
396,Graduation,Married,43824.0,1,1,18,96.0,1.0,42,12,3,32,4,3,1,4,8,0,0,53,12,0
397,Graduation,Together,15345.0,1,0,51,5.0,2.0,16,3,2,19,2,1,1,2,8,0,1,40,12,0
398,Graduation,Single,23442.0,1,0,71,2.0,0.0,6,8,6,5,1,1,0,3,7,0,0,37,12,0
399,2n Cycle,Together,14515.0,1,0,71,6.0,4.0,9,6,36,35,4,2,2,3,7,0,1,44,12,0
400,2n Cycle,Divorced,31395.0,1,1,80,23.0,1.0,25,0,8,7,4,2,1,3,6,0,0,68,11,0
401,Graduation,Together,75276.0,0,0,2,610.0,81.0,125,137,42,21,1,9,4,9,5,0,0,59,12,0
402,Graduation,Single,42373.0,1,1,83,67.0,5.0,61,3,8,19,5,2,1,5,5,0,0,50,11,0
403,Graduation,Together,30507.0,0,0,29,65.0,36.0,74,38,20,110,1,5,1,4,7,0,0,64,11,0
404,PhD,Single,55521.0,1,2,11,416.0,0.0,26,0,0,4,9,6,3,6,7,0,1,69,11,1
405,Graduation,Married,48006.0,1,1,55,23.0,0.0,11,3,2,2,1,1,0,3,6,0,0,59,10,0
406,PhD,Single,27213.0,1,0,19,19.0,3.0,26,10,9,3,3,2,0,4,8,0,1,52,12,0
407,PhD,Divorced,65808.0,1,1,1,155.0,7.0,80,13,7,10,3,5,1,5,6,0,0,53,10,0
408,PhD,Together,30351.0,1,0,19,14.0,0.0,24,3,3,2,1,3,0,2,9,0,0,50,11,0
409,Graduation,Married,50437.0,0,2,28,370.0,9.0,92,6,9,4,3,7,1,8,7,0,0,61,12,0
410,2n Cycle,Single,23616.0,1,0,76,4.0,22.0,11,3,7,32,2,3,0,3,8,0,1,42,12,0
411,Graduation,Married,53858.0,0,1,50,407.0,53.0,221,58,150,26,4,4,3,6,4,0,0,48,12,0
412,PhD,Married,66465.0,0,1,1,1200.0,0.0,204,38,29,14,3,11,9,12,6,0,0,69,11,1
413,Graduation,Single,46923.0,1,0,90,85.0,44.0,54,102,78,6,3,5,1,7,7,0,0,37,12,0
414,Graduation,Together,75072.0,0,1,83,583.0,34.0,309,0,22,125,2,5,4,8,3,0,0,62,11,0
415,PhD,Married,75865.0,0,0,73,483.0,0.0,591,156,0,12,1,3,5,10,1,0,0,81,10,0
416,2n Cycle,Together,19789.0,1,0,24,2.0,5.0,9,28,6,28,3,2,1,3,5,0,0,49,11,1
417,Graduation,Together,80134.0,0,0,11,966.0,26.0,282,52,26,26,1,2,7,11,5,0,0,30,10,4
418,Graduation,Single,91065.0,0,0,33,822.0,81.0,108,179,137,114,1,7,9,9,3,0,1,43,11,2
419,Master,Married,49505.0,1,1,4,604.0,0.0,100,19,0,28,9,10,2,8,8,0,0,53,11,0
420,PhD,Married,37401.0,1,0,14,19.0,3.0,19,3,1,3,2,2,0,3,7,0,0,51,10,0
421,Graduation,Married,30096.0,1,0,30,5.0,3.0,11,12,5,9,1,2,0,3,6,0,0,41,10,0
422,Master,Together,18492.0,1,0,75,2.0,2.0,2,2,1,1,1,1,0,2,8,0,0,42,10,0
423,Master,Married,82584.0,0,0,26,1076.0,68.0,103,29,91,68,1,3,4,8,1,0,1,50,11,2
424,PhD,Married,93027.0,0,0,77,1225.0,42.0,716,55,0,21,0,7,10,5,2,0,0,83,11,1
425,Graduation,Married,48686.0,1,2,8,10.0,0.0,7,2,0,1,1,1,0,2,8,0,0,71,11,0
426,Graduation,Married,92910.0,0,0,42,551.0,81.0,792,179,103,33,1,6,7,13,1,0,0,38,10,3
427,Graduation,Married,75433.0,1,0,28,800.0,0.0,297,0,34,57,2,2,5,10,6,0,0,35,10,2
428,2n Cycle,Together,10404.0,1,0,52,2.0,2.0,11,10,6,12,2,1,0,4,5,0,0,35,10,0
429,Graduation,Married,61314.0,0,1,1,378.0,0.0,189,97,172,172,2,5,5,12,3,0,0,56,11,0
430,PhD,Single,84865.0,0,0,1,1225.0,16.0,349,43,16,16,1,2,4,9,4,0,1,63,11,4
431,Graduation,Married,42387.0,1,0,42,235.0,0.0,235,19,4,191,5,8,1,7,8,0,0,35,12,0
432,2n Cycle,Together,67309.0,1,1,76,515.0,47.0,181,149,95,95,15,9,6,9,7,0,0,57,11,0
433,Graduation,Married,75236.0,0,1,27,438.0,66.0,400,12,38,114,1,8,3,13,4,0,0,60,11,0
434,Graduation,Single,30015.0,1,0,28,25.0,0.0,22,2,3,5,2,1,0,4,5,0,0,54,10,0
435,Master,Together,50943.0,0,1,49,31.0,0.0,7,2,0,6,1,1,0,3,5,0,0,68,11,0
436,Graduation,Divorced,67272.0,0,1,12,357.0,35.0,271,28,28,14,3,6,2,12,5,0,0,58,11,0
437,Master,Widow,51529.0,0,1,14,400.0,4.0,35,6,0,22,2,9,1,5,8,0,0,75,11,0
438,PhD,Married,32011.0,1,0,89,99.0,0.0,15,2,1,5,3,2,1,4,7,0,0,53,11,0
439,2n Cycle,Married,7500.0,1,0,96,1.0,11.0,5,4,6,9,2,2,0,3,8,0,0,38,11,0
440,Graduation,Married,28691.0,1,0,56,5.0,4.0,13,8,0,4,1,1,0,3,8,0,0,35,11,0
441,PhD,Married,56223.0,0,1,72,77.0,28.0,31,16,0,4,2,2,1,5,4,0,0,76,11,0
442,Graduation,Married,18100.0,0,0,14,3.0,1.0,2,4,3,1,1,0,0,3,5,0,0,78,11,0
443,Graduation,Single,30279.0,1,0,13,10.0,4.0,14,4,4,1,1,1,0,3,8,0,0,35,12,0
444,2n Cycle,Married,20130.0,0,0,99,0.0,6.0,3,7,6,12,1,1,0,3,8,0,0,50,10,0
445,Graduation,Divorced,23295.0,0,0,72,0.0,0.0,1,2,12,5,1,1,0,2,8,0,0,65,11,0
446,Master,Divorced,42618.0,1,0,92,76.0,14.0,74,13,5,10,2,5,0,4,8,0,0,52,11,0
447,Graduation,Single,81246.0,0,0,87,398.0,81.0,537,61,156,37,1,4,5,7,1,0,0,60,11,2
448,Graduation,Married,24027.0,1,0,7,14.0,7.0,11,11,0,5,2,2,0,3,8,0,0,48,11,0
449,PhD,Married,55707.0,0,1,91,208.0,7.0,82,30,66,35,2,3,2,9,3,0,0,71,11,0
450,Graduation,Single,57959.0,0,1,71,430.0,16.0,322,43,24,33,5,4,7,11,3,0,0,69,11,0
451,Graduation,Married,56796.0,0,1,24,656.0,38.0,161,62,47,37,3,8,9,7,7,0,0,55,11,0
452,Master,Single,36230.0,1,0,17,14.0,2.0,30,8,2,3,1,2,0,4,5,0,0,53,11,0
453,2n Cycle,Married,70829.0,1,1,87,141.0,70.0,106,72,19,23,2,4,2,8,3,0,0,44,11,0
454,Graduation,Married,65991.0,0,1,21,507.0,19.0,364,25,47,9,3,9,5,10,7,0,0,48,12,0
455,Graduation,Married,38988.0,1,2,90,164.0,24.0,103,12,3,42,7,5,1,6,8,0,0,52,12,0
456,2n Cycle,Single,89572.0,0,0,44,606.0,24.0,974,197,194,64,1,7,7,9,4,0,1,58,12,2
457,Master,Married,42207.0,1,0,71,116.0,11.0,72,3,17,46,4,4,1,5,6,0,1,40,11,1
458,Graduation,Married,50300.0,0,1,52,143.0,15.0,60,24,23,5,2,2,1,8,2,0,0,72,10,0
459,2n Cycle,Together,66664.0,0,0,78,398.0,81.0,447,220,96,32,1,5,7,6,3,0,0,42,12,0
460,Graduation,Married,60597.0,0,1,2,522.0,0.0,257,32,16,66,4,2,2,8,7,0,1,60,10,1
461,Graduation,Widow,70165.0,0,0,60,161.0,0.0,253,199,191,122,1,3,7,11,1,0,0,75,11,0
462,PhD,Widow,50520.0,0,1,25,112.0,0.0,6,2,1,14,2,3,1,3,6,0,0,66,10,0
463,Graduation,Married,80124.0,0,0,47,483.0,81.0,398,205,84,241,1,3,7,8,1,0,0,61,10,1
464,Graduation,Married,33183.0,1,0,46,7.0,5.0,39,17,15,37,2,4,0,3,7,0,0,49,10,0
465,PhD,Single,66582.0,0,0,83,789.0,25.0,420,16,38,0,1,2,8,9,1,0,0,55,10,0
466,PhD,Together,75261.0,0,0,17,1225.0,17.0,413,23,34,17,1,5,6,5,2,0,1,69,11,2
467,Graduation,Widow,31880.0,1,0,13,4.0,1.0,5,2,0,3,1,1,0,2,8,0,0,54,12,0
468,Graduation,Married,53790.0,0,2,86,335.0,42.0,127,28,5,5,3,7,2,8,6,0,0,73,10,0
469,PhD,Together,49269.0,1,0,92,639.0,8.0,166,11,8,58,3,7,3,12,7,0,0,53,12,0
470,Graduation,Married,61456.0,0,1,47,563.0,76.0,384,84,192,89,4,6,10,13,4,0,0,49,11,0
471,Graduation,Married,37406.0,1,0,18,2.0,0.0,8,2,2,3,1,1,0,2,8,0,1,44,11,0
472,PhD,Together,56937.0,1,0,81,746.0,8.0,125,11,8,8,7,8,6,9,6,0,1,43,12,1
473,Graduation,Married,38415.0,1,1,91,22.0,1.0,13,4,0,4,2,1,0,3,7,0,0,46,11,0
474,Graduation,Single,20518.0,1,0,58,4.0,1.0,6,4,1,9,1,1,1,2,5,0,0,36,10,0
475,Graduation,Married,62503.0,0,1,40,478.0,0.0,193,110,75,117,4,8,3,11,5,0,0,68,11,0
476,PhD,Single,41644.0,1,1,67,20.0,3.0,4,2,0,2,2,1,0,3,3,0,0,52,10,0
477,Master,Married,55842.0,0,1,19,451.0,0.0,39,0,4,24,1,7,1,8,5,0,0,47,10,0
478,PhD,Married,62010.0,0,1,93,371.0,22.0,39,6,0,92,4,6,2,7,5,0,0,52,12,0
479,Graduation,Married,41124.0,1,0,41,281.0,7.0,84,15,0,119,7,7,3,4,8,0,0,47,12,0
480,Master,Married,38961.0,1,0,60,19.0,7.0,19,0,1,24,1,2,1,2,7,0,0,51,11,0
481,Master,Divorced,37760.0,1,0,54,26.0,3.0,13,2,10,0,1,2,0,3,6,0,0,52,11,0
482,Graduation,Single,32233.0,1,0,26,138.0,15.0,35,25,11,72,2,6,2,2,9,0,1,50,12,1
