Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Present_Age_CST,Customer_Since_year,AcceptedCmp
Graduation,Together,80685.0,0,0,55,241.0,45.0,604,34,26,54,1,6,4,10,2,0,0,30,12,0
2n Cycle,Divorced,59052.0,0,1,29,230.0,35.0,75,63,57,31,3,7,1,7,5,0,0,65,11,0
PhD,Divorced,70179.0,0,1,10,532.0,81.0,168,69,44,133,3,7,3,13,5,0,0,48,11,0
Master,Together,35924.0,1,1,56,8.0,0.0,14,2,3,7,1,1,0,3,5,0,0,55,10,0
Graduation,Married,59666.0,1,1,87,623.0,53.0,178,23,17,133,7,3,2,8,8,0,0,52,11,1
PhD,Single,90933.0,0,0,90,1020.0,31.0,430,62,63,79,1,4,6,4,1,0,0,70,10,1
Graduation,Married,30833.0,1,1,33,11.0,0.0,7,3,1,6,2,1,0,3,5,0,0,73,11,0
PhD,Married,60585.0,1,1,17,267.0,42.0,309,55,42,21,10,7,4,9,5,0,1,53,11,0
Graduation,Married,22979.0,1,0,29,16.0,17.0,19,20,21,22,3,3,2,2,8,0,1,54,12,0
2n Cycle,Divorced,77297.0,0,0,84,408.0,61.0,109,48,122,41,1,5,7,9,4,0,0,67,11,1
Graduation,Divorced,1730.0,0,0,65,1.0,1.0,3,1,1,1,15,0,0,0,20,0,0,53,10,0
Master,Married,38452.0,1,1,62,56.0,0.0,14,0,0,2,3,3,0,3,7,0,0,69,10,0
PhD,Together,59292.0,0,1,71,378.0,14.0,68,19,14,14,2,3,5,8,3,0,0,74,11,0
Graduation,Single,23442.0,1,0,71,2.0,0.0,6,8,6,5,1,1,0,3,7,0,0,37,12,0
Graduation,Together,39453.0,1,0,64,46.0,0.0,7,0,0,2,2,2,0,3,6,0,0,41,10,0
Graduation,Married,39922.0,1,0,30,29.0,12.0,59,19,1,36,2,3,0,4,8,0,0,41,11,0
Graduation,Together,59481.0,0,1,47,178.0,3.0,85,71,66,58,2,3,3,8,2,0,0,49,11,0
Master,Married,33444.0,1,1,24,8.0,0.0,8,0,0,2,1,1,0,2,8,0,0,72,12,0
Graduation,Married,82497.0,0,0,32,777.0,81.0,573,216,21,203,1,2,7,9,4,0,0,44,12,1
Graduation,Single,46107.0,1,0,78,31.0,9.0,27,16,9,33,1,1,1,4,3,0,0,35,10,0
PhD,Married,94871.0,0,2,99,169.0,24.0,553,188,0,144,1,8,5,4,7,0,1,55,12,2
Graduation,Single,70596.0,0,0,68,347.0,44.0,534,17,0,26,1,3,5,12,2,0,0,39,12,0
Master,Together,30560.0,1,0,6,9.0,1.0,5,4,5,7,1,1,0,3,7,0,0,48,11,0
Master,Together,65104.0,0,1,4,738.0,0.0,232,13,20,50,2,3,5,7,7,0,1,48,11,0
2n Cycle,Divorced,25959.0,1,1,1,4.0,2.0,12,7,5,26,2,1,2,2,6,0,1,54,11,0
Graduation,Together,71613.0,0,0,26,426.0,49.0,127,111,21,42,1,8,2,10,4,0,0,59,11,0
2n Cycle,Divorced,64176.0,0,1,52,1215.0,33.0,249,64,116,149,8,8,9,8,6,0,0,59,12,0
Graduation,Married,51287.0,1,1,10,117.0,0.0,22,13,0,30,3,4,1,3,7,0,0,56,10,0
Graduation,Married,36026.0,2,1,34,20.0,4.0,10,6,4,17,2,2,0,3,6,0,0,52,10,0
PhD,Together,83532.0,0,0,36,755.0,81.0,562,104,64,224,1,4,6,4,1,0,0,125,11,1
PhD,Married,78931.0,0,0,19,331.0,81.0,170,58,152,35,1,2,8,13,1,0,0,53,11,0
Master,Married,38179.0,1,1,30,38.0,4.0,22,4,2,20,4,3,1,3,7,0,0,58,11,0
Graduation,Single,22585.0,0,0,23,3.0,9.0,15,13,2,39,1,1,1,2,9,0,1,54,11,1
Master,Married,88097.0,1,0,24,163.0,0.0,480,0,126,75,1,6,5,8,9,0,1,46,12,3
2n Cycle,Married,7500.0,1,0,96,1.0,11.0,5,4,6,9,2,2,0,3,8,0,0,38,11,0
Master,Single,31788.0,1,0,15,16.0,7.0,23,0,8,6,3,3,0,4,5,1,0,41,10,0
Graduation,Single,29760.0,1,0,87,64.0,4.0,68,7,5,17,4,3,1,4,8,0,0,39,12,0
Graduation,Married,61074.0,0,1,37,789.0,0.0,133,0,28,152,7,11,5,8,7,0,0,66,12,0
Basic,Single,26868.0,1,0,52,0.0,0.0,1,8,3,2,1,1,0,2,7,0,0,33,10,0
Graduation,Single,46904.0,1,1,20,153.0,4.0,56,0,9,31,4,5,1,4,8,0,0,57,12,0
Graduation,Together,51195.0,1,1,46,230.0,14.0,156,82,24,58,8,9,2,5,8,0,0,62,11,0
Graduation,Single,66294.0,0,0,68,251.0,81.0,334,65,92,117,1,4,3,5,2,0,0,59,10,0
Graduation,Widow,45684.0,1,0,37,5.0,1.0,5,10,0,7,1,1,0,2,7,0,0,53,11,0
Graduation,Divorced,26150.0,2,1,61,5.0,1.0,13,3,5,1,1,1,0,3,7,0,0,68,11,0
PhD,Married,75865.0,0,0,73,483.0,0.0,591,156,0,12,1,3,5,10,1,0,0,81,10,0
Graduation,Married,29315.0,1,1,55,13.0,2.0,14,8,7,4,4,2,0,4,6,0,0,64,10,0
PhD,Widow,51569.0,0,1,39,380.0,0.0,47,6,0,34,4,7,1,7,8,0,1,75,11,1
Master,Single,31160.0,1,0,59,16.0,3.0,25,6,1,13,2,2,0,3,8,0,0,49,11,0
Graduation,Single,46923.0,1,0,90,85.0,44.0,54,102,78,6,3,5,1,7,7,0,0,37,12,0
Master,Married,62845.0,1,1,3,1099.0,0.0,45,0,0,34,11,3,4,10,8,0,1,75,12,1
Master,Married,90226.0,0,0,26,1083.0,81.0,649,253,151,108,1,4,7,12,2,0,0,68,12,1
Master,Together,44602.0,1,1,35,167.0,2.0,89,0,0,34,6,6,1,4,8,0,0,55,10,0
Graduation,Divorced,12571.0,1,0,86,3.0,5.0,14,2,12,17,4,3,1,3,6,0,0,48,10,0
PhD,Married,68397.0,0,1,6,760.0,80.0,466,17,13,80,1,6,9,5,3,0,0,48,11,0
PhD,Together,37395.0,1,0,47,18.0,0.0,9,0,1,11,1,1,0,3,6,0,0,48,10,0
Graduation,Married,48686.0,1,2,8,10.0,0.0,7,2,0,1,1,1,0,2,8,0,0,71,11,0
Graduation,Married,65210.0,0,1,25,626.0,0.0,70,0,7,28,2,9,3,8,6,0,0,69,10,2
Graduation,Together,84906.0,0,0,98,997.0,15.0,414,99,30,76,1,5,6,12,2,0,0,52,11,3
Graduation,Married,79205.0,0,0,73,504.0,23.0,117,179,28,44,1,6,5,4,4,0,1,49,12,1
Graduation,Married,59111.0,0,0,90,524.0,0.0,134,28,28,155,1,11,1,8,7,0,0,70,11,0
Graduation,Single,72066.0,0,0,55,1003.0,34.0,536,134,51,34,1,4,6,6,2,0,1,43,10,2
Graduation,Widow,30372.0,1,1,33,15.0,0.0,12,7,3,7,3,2,0,3,7,0,0,53,12,0
PhD,Married,59892.0,0,1,26,73.0,0.0,13,0,1,0,1,2,1,3,3,0,0,54,11,0
PhD,Married,54693.0,0,1,72,686.0,17.0,142,23,26,35,8,6,4,13,6,0,0,62,11,0
PhD,Together,77863.0,0,0,20,881.0,38.0,319,16,25,12,1,4,5,10,2,0,0,66,11,0
Graduation,Together,34026.0,1,1,11,18.0,6.0,15,12,8,17,3,2,1,3,5,0,0,74,11,0
Graduation,Married,18929.0,0,0,15,32.0,0.0,8,23,4,18,1,1,0,4,6,0,0,34,11,0
Master,Married,66835.0,0,0,21,620.0,26.0,195,34,17,141,1,6,4,13,2,0,0,78,11,0
Graduation,Together,33456.0,1,1,58,7.0,3.0,10,8,1,7,2,1,0,3,7,0,0,59,10,0
2n Cycle,Single,45889.0,0,1,42,31.0,0.0,6,0,1,8,1,1,0,3,6,0,0,44,11,0
Graduation,Married,44322.0,1,0,30,46.0,0.0,40,3,0,3,2,3,0,3,8,0,0,39,10,0
Graduation,Married,61286.0,0,1,34,356.0,0.0,107,19,9,117,2,7,1,8,5,0,0,58,11,0
Master,Married,30522.0,0,1,6,179.0,8.0,83,19,11,26,5,1,2,9,2,0,0,64,12,0
Graduation,Married,90000.0,0,0,91,675.0,81.0,133,94,192,241,1,4,8,5,1,0,0,40,11,3
Graduation,Together,55375.0,0,1,3,42.0,11.0,57,10,28,14,1,1,1,6,2,0,0,47,11,0
Master,Divorced,44051.0,1,1,20,79.0,7.0,58,6,3,18,4,3,1,4,6,0,1,51,11,0
PhD,Together,61905.0,0,1,2,167.0,0.0,43,6,2,13,2,4,2,4,5,0,0,49,10,0
PhD,Single,48240.0,0,0,73,389.0,81.0,248,64,49,41,3,6,3,13,5,0,1,55,12,0
PhD,Married,45759.0,1,1,13,42.0,1.0,18,3,0,4,2,2,0,3,7,0,0,60,11,0
2n Cycle,Together,68316.0,0,1,54,806.0,80.0,161,120,11,33,5,10,7,10,6,0,0,60,12,0
Graduation,Single,22327.0,1,0,94,5.0,4.0,8,2,0,5,1,1,0,3,5,0,0,39,11,0
Graduation,Married,48178.0,1,1,69,159.0,4.0,45,6,2,38,6,5,1,4,8,0,0,49,12,0
PhD,Together,77622.0,0,2,3,520.0,7.0,154,19,0,14,2,6,3,11,3,0,0,54,10,0
Graduation,Together,33178.0,1,0,9,12.0,6.0,2,11,2,16,1,1,0,3,4,0,0,47,10,0
Graduation,Single,23763.0,1,0,64,22.0,0.0,6,6,2,6,1,1,0,3,7,0,0,47,12,0
Graduation,Married,52531.0,0,0,68,283.0,81.0,151,51,72,125,2,7,2,10,6,0,0,53,12,0
PhD,Single,64950.0,0,1,29,819.0,0.0,72,12,0,63,2,11,2,10,7,0,0,73,12,1
2n Cycle,Together,25176.0,1,1,79,4.0,0.0,4,0,0,5,1,1,0,2,7,0,0,48,11,0
Basic,Divorced,9548.0,1,0,31,0.0,1.0,3,10,6,9,2,1,0,3,8,0,0,48,12,0
Graduation,Together,71367.0,0,0,24,227.0,23.0,389,42,21,75,1,4,5,7,2,0,0,65,11,0
Graduation,Married,71626.0,0,0,94,546.0,72.0,376,94,145,72,1,5,5,8,3,0,0,45,12,1
Graduation,Together,22010.0,1,0,51,11.0,2.0,9,3,0,8,2,2,0,3,8,0,0,41,11,0
Graduation,Together,36283.0,1,1,42,6.0,5.0,5,8,0,5,2,1,0,3,4,0,0,48,10,0
2n Cycle,Together,36301.0,1,0,53,11.0,12.0,35,3,5,12,1,3,0,3,7,0,0,48,11,0
PhD,Married,43269.0,1,0,61,10.0,1.0,7,0,0,1,1,1,0,2,8,0,0,52,11,0
PhD,Widow,82571.0,0,0,28,861.0,31.0,558,62,95,79,0,6,5,13,2,0,0,62,10,1
Graduation,Together,57100.0,0,0,19,181.0,21.0,69,39,3,96,1,3,3,6,3,0,0,51,11,0
Graduation,Married,25252.0,1,0,26,1.0,3.0,4,2,2,6,1,1,0,2,8,0,0,38,11,0
PhD,Single,82800.0,0,0,23,1006.0,22.0,115,59,68,45,1,7,6,12,3,0,1,78,12,2
Master,Single,46423.0,1,1,6,68.0,0.0,16,0,0,8,3,2,0,4,7,0,0,52,11,0
Master,Married,38452.0,1,1,62,56.0,0.0,14,0,0,2,3,3,0,3,7,0,0,69,10,0
Master,Married,32765.0,1,0,49,13.0,3.0,17,7,3,3,2,2,0,4,5,0,0,45,10,0
Graduation,Together,76532.0,1,1,38,355.0,30.0,177,90,138,30,4,9,5,7,5,0,0,49,11,0
Master,Together,51381.5,1,1,52,375.0,42.0,48,94,66,96,7,4,10,4,3,0,0,55,11,0
Graduation,Married,44989.0,0,1,26,98.0,0.0,106,49,10,106,5,5,1,5,6,0,0,50,12,0
Graduation,Divorced,49431.0,0,1,9,219.0,3.0,100,26,0,17,2,7,1,5,8,0,0,69,12,0
PhD,Together,64014.0,2,1,56,406.0,0.0,30,0,0,8,7,8,2,5,7,0,0,78,10,1
Graduation,Married,69139.0,0,1,23,86.0,12.0,75,33,15,6,1,4,1,5,4,0,0,59,10,0
PhD,Single,66582.0,0,0,83,789.0,25.0,420,16,38,0,1,2,8,9,1,0,0,55,10,0
PhD,Married,85844.0,0,0,62,938.0,19.0,843,25,95,38,1,6,6,7,2,0,0,51,10,1
PhD,Single,46854.0,1,1,81,96.0,1.0,79,7,1,79,6,5,1,3,8,0,1,51,10,1
PhD,Together,34578.0,2,1,1,7.0,0.0,1,0,0,0,1,1,0,2,6,0,0,52,10,0
Graduation,Married,34380.0,1,0,68,72.0,7.0,58,13,1,24,4,4,1,3,8,0,0,47,11,0
Graduation,Married,44689.0,1,1,82,18.0,0.0,5,0,0,11,2,1,1,2,7,0,0,73,10,1
Graduation,Married,64590.0,0,0,98,920.0,81.0,168,36,46,30,1,9,4,10,6,0,0,56,12,0
PhD,Divorced,70179.0,0,1,10,532.0,81.0,168,69,44,133,3,7,3,13,5,0,0,48,11,0
PhD,Married,18169.0,1,0,40,9.0,0.0,5,0,0,7,1,1,0,2,8,0,0,39,11,0
PhD,Married,67546.0,0,0,90,864.0,81.0,768,150,38,172,1,4,10,5,3,0,0,36,12,0
Graduation,Married,74268.0,0,0,83,199.0,66.0,315,97,174,41,1,4,3,5,2,0,0,69,11,0
Graduation,Together,42162.0,1,0,31,46.0,7.0,59,2,4,27,2,3,1,3,6,0,1,43,11,1
Master,Married,92163.0,0,0,25,817.0,81.0,797,106,163,20,0,5,11,5,2,0,1,49,12,2
Graduation,Single,69263.0,0,1,14,492.0,5.0,32,13,5,21,1,9,1,7,6,0,0,59,10,1
Graduation,Together,22280.0,1,0,85,2.0,1.0,4,3,1,2,1,1,0,2,8,0,0,49,11,0
Graduation,Divorced,85683.0,0,0,6,1225.0,17.0,311,45,69,51,1,2,4,10,1,0,1,70,10,4
Graduation,Married,77437.0,0,0,70,560.0,21.0,442,29,44,29,1,4,5,13,1,0,0,61,11,1
PhD,Married,77037.0,0,1,3,463.0,81.0,333,168,53,10,1,7,7,12,3,0,0,64,11,0
Graduation,Together,19444.0,1,0,8,16.0,0.0,23,3,2,10,3,4,1,2,7,0,1,42,10,0
Graduation,Single,36130.0,0,1,46,157.0,43.0,127,68,56,37,6,3,8,4,4,0,1,70,11,1
Graduation,Single,47025.0,0,1,52,254.0,7.0,108,20,0,26,3,6,3,5,6,0,0,48,11,0
Graduation,Married,30772.0,1,1,89,7.0,2.0,4,2,1,4,1,1,0,2,6,0,0,48,10,0
PhD,Single,51381.5,0,0,80,81.0,11.0,50,3,2,39,1,1,3,4,2,0,0,65,11,0
Graduation,Single,38808.0,1,0,21,125.0,17.0,52,3,19,30,4,5,1,4,8,0,1,52,12,1
Graduation,Divorced,33378.0,1,1,38,33.0,6.0,40,3,7,10,3,2,0,4,7,0,0,61,11,0
Graduation,Single,33249.0,1,0,11,6.0,10.0,21,19,14,42,2,2,1,3,6,0,0,49,11,0
PhD,Single,34554.0,0,1,43,41.0,1.0,6,2,0,5,2,2,0,3,6,0,0,65,10,0
PhD,Married,40344.0,0,1,48,210.0,0.0,6,0,0,2,2,4,1,5,7,0,0,50,11,0
Graduation,Divorced,30992.0,1,0,83,17.0,0.0,14,7,3,2,1,1,0,3,7,0,0,48,11,0
Graduation,Single,61559.0,0,1,8,279.0,81.0,88,32,14,34,1,4,2,10,3,0,0,59,11,0
Graduation,Married,52413.0,0,2,56,295.0,81.0,271,75,98,65,4,6,4,12,6,0,0,55,11,0
PhD,Married,55158.0,1,1,72,293.0,0.0,87,4,11,23,4,7,2,5,7,0,1,54,12,0
PhD,Together,78642.0,0,1,83,1225.0,0.0,322,46,35,17,1,4,9,4,6,0,0,53,11,0
2n Cycle,Together,51381.5,0,0,53,32.0,2.0,1607,12,4,22,0,0,0,1,0,0,0,46,12,1
Graduation,Married,34838.0,1,1,62,28.0,23.0,29,29,14,47,3,2,1,4,6,0,0,73,11,0
Basic,Single,15862.0,1,0,26,1.0,1.0,4,11,9,10,1,1,0,3,8,0,0,45,11,0
Master,Single,50014.0,1,0,9,234.0,14.0,77,19,10,42,2,4,1,8,5,0,0,56,10,0
Graduation,Together,22775.0,1,0,40,5.0,1.0,8,0,0,1,1,1,0,2,8,0,0,46,11,0
Graduation,Single,60689.0,0,1,23,240.0,81.0,216,63,6,24,4,4,4,10,3,0,0,73,11,0
Graduation,Single,69627.0,0,1,35,231.0,81.0,215,171,30,53,2,8,2,11,5,0,0,62,11,0
Graduation,Divorced,81361.0,0,0,18,163.0,23.0,424,27,65,76,1,3,10,13,1,0,1,37,10,0
Graduation,Divorced,71128.0,1,0,80,958.0,81.0,447,20,0,31,3,2,10,12,7,0,0,51,12,0
Graduation,Married,61180.0,0,1,70,403.0,24.0,29,6,24,218,2,5,5,6,3,0,0,65,10,1
PhD,Widow,67786.0,0,0,0,431.0,81.0,441,80,20,102,1,3,6,6,1,0,1,65,11,0
Graduation,Single,33249.0,1,0,11,6.0,10.0,21,19,14,42,2,2,1,3,6,0,0,49,11,0
Graduation,Married,65031.0,0,1,29,258.0,81.0,291,84,37,86,4,10,3,13,7,0,0,65,11,0
Graduation,Together,27203.0,1,1,92,13.0,2.0,21,4,0,24,2,1,1,2,8,0,0,74,12,0
Graduation,Together,62807.0,0,1,83,526.0,28.0,135,10,21,99,3,5,3,12,5,0,0,64,12,0
2n Cycle,Single,38741.0,1,1,60,7.0,10.0,17,8,6,13,2,2,0,3,7,0,0,66,10,0
Graduation,Together,50116.0,1,1,68,54.0,0.0,10,0,0,2,2,1,0,4,5,0,0,67,10,1
Master,Divorced,37760.0,1,0,54,26.0,3.0,13,2,10,0,1,2,0,3,6,0,0,52,11,0
Graduation,Married,36781.0,1,0,16,29.0,1.0,17,0,3,13,1,2,1,2,8,0,1,45,10,0
Graduation,Married,65665.0,0,1,77,225.0,81.0,387,106,36,29,1,5,10,8,3,0,0,48,11,0
Graduation,Divorced,22304.0,0,0,91,3.0,2.0,7,0,4,2,1,1,0,2,8,0,0,68,12,0
Graduation,Married,32300.0,1,0,1,13.0,3.0,6,6,5,6,1,1,0,3,8,0,0,51,11,0
PhD,Single,39190.0,1,0,91,68.0,8.0,18,19,8,12,2,2,1,4,5,0,0,50,10,0
Graduation,Single,7500.0,1,1,5,6.0,5.0,4,13,4,25,4,2,1,3,6,0,0,46,12,0
Graduation,Together,666666.0,1,0,23,9.0,14.0,18,8,1,12,4,3,1,3,6,0,0,47,11,0
PhD,Married,55424.0,0,1,6,462.0,61.0,184,10,53,107,4,7,5,9,6,0,1,48,12,1
Graduation,Single,33955.0,1,0,92,100.0,2.0,128,23,7,10,4,5,1,5,8,0,0,49,11,0
Graduation,Together,56715.0,0,0,52,258.0,81.0,239,237,172,9,1,7,3,4,4,0,0,50,12,0
PhD,Married,80360.0,0,0,56,1225.0,81.0,454,112,43,43,2,4,4,5,2,0,0,75,11,3
Graduation,Divorced,82460.0,0,0,78,255.0,47.0,573,52,32,15,1,5,3,6,1,0,0,74,11,0
Graduation,Married,22574.0,2,1,28,25.0,0.0,8,2,0,2,2,2,0,3,7,0,0,57,11,0
Graduation,Together,96876.0,0,0,79,908.0,43.0,735,40,194,21,1,7,7,9,2,0,1,47,11,3
Graduation,Married,48006.0,1,1,55,23.0,0.0,11,3,2,2,1,1,0,3,6,0,0,59,10,0
PhD,Married,36663.0,1,0,40,18.0,0.0,6,3,3,5,1,1,1,3,2,0,0,49,10,0
Graduation,Single,90842.0,0,0,57,774.0,70.0,118,182,187,93,1,4,9,13,1,0,0,76,11,0
Graduation,Together,77382.0,0,1,36,491.0,48.0,231,112,105,134,2,5,7,12,1,0,0,56,10,1
Graduation,Married,79593.0,0,0,70,350.0,60.0,568,110,133,145,1,5,6,7,2,0,0,51,10,1
Graduation,Single,49090.0,0,1,45,494.0,5.0,82,7,0,100,3,7,2,9,7,0,0,73,11,0
Master,Together,42670.0,0,0,12,154.0,2.0,46,20,4,15,1,4,2,4,4,0,0,32,11,0
Graduation,Together,51369.0,0,1,84,297.0,7.0,79,0,11,182,2,8,2,4,8,0,0,48,12,0
2n Cycle,Together,38702.0,1,0,71,13.0,11.0,24,13,8,40,2,3,0,4,6,0,0,46,11,0
Master,Married,56850.0,0,1,83,34.0,1.0,19,2,7,0,1,1,1,3,2,0,0,53,10,0
Graduation,Together,34350.0,1,0,81,16.0,3.0,15,2,1,11,1,1,0,3,7,0,0,45,11,0
PhD,Married,69389.0,0,1,17,422.0,7.0,238,69,46,15,1,7,2,12,4,0,0,47,12,0
Master,Married,57136.0,1,1,48,306.0,5.0,109,21,109,92,9,5,2,10,6,0,0,52,11,0
Graduation,Divorced,49638.0,0,1,71,18.0,10.0,3,3,5,0,1,1,0,3,2,0,0,72,10,0
Graduation,Single,72903.0,0,0,74,1067.0,81.0,750,0,19,39,1,7,5,8,4,0,1,39,11,3
2n Cycle,Single,31878.0,0,1,7,23.0,4.0,5,10,5,23,1,1,0,4,3,0,0,47,10,0
2n Cycle,Married,15315.0,0,0,27,7.0,4.0,13,15,8,17,2,2,0,4,5,0,0,54,11,0
2n Cycle,Married,35688.0,2,1,94,73.0,3.0,90,12,1,32,7,4,1,4,8,0,0,51,12,0
Graduation,Together,40479.0,1,0,95,5.0,0.0,8,2,0,0,1,0,0,3,4,0,0,42,11,0
Master,Married,81929.0,1,0,60,1225.0,55.0,278,49,0,185,2,4,4,10,6,0,1,48,12,2
Graduation,Divorced,83829.0,0,0,78,897.0,81.0,430,186,161,27,0,4,7,6,1,0,1,49,11,3
Graduation,Together,38361.0,1,0,74,39.0,0.0,56,20,8,14,3,3,1,3,7,0,0,55,11,0
Master,Together,42315.0,0,1,90,67.0,15.0,80,17,11,80,3,1,4,4,3,0,0,66,11,0
Graduation,Married,65685.0,0,1,54,642.0,14.0,49,0,7,57,1,9,2,9,5,0,0,52,10,0
Master,Divorced,41335.0,1,0,24,112.0,19.0,21,16,14,5,3,4,1,4,7,0,0,56,11,0
PhD,Married,80336.0,0,0,12,209.0,19.0,456,160,142,66,1,2,9,13,1,0,0,54,11,0
PhD,Divorced,28420.0,1,0,36,4.0,2.0,5,2,0,0,1,1,0,2,6,0,0,57,11,0
2n Cycle,Married,30390.0,0,0,5,10.0,12.0,12,25,1,20,1,2,0,3,6,0,0,37,11,0
PhD,Married,61996.0,0,1,27,1050.0,12.0,144,0,0,24,3,6,4,8,5,0,1,47,11,3
Graduation,Married,79908.0,0,0,30,557.0,81.0,761,29,185,111,1,5,6,7,2,0,0,42,11,1
Master,Together,37509.0,1,0,24,37.0,5.0,56,12,8,5,2,3,0,4,7,0,0,48,12,0
Graduation,Married,71427.0,2,0,26,212.0,81.0,177,15,64,23,2,8,2,8,4,0,0,46,10,0
PhD,Married,65526.0,0,1,22,397.0,19.0,69,12,0,9,1,4,4,8,2,0,0,60,10,0
Graduation,Married,51373.0,0,0,37,83.0,2.0,101,64,26,117,1,3,5,3,4,0,0,33,11,0
2n Cycle,Together,20491.0,0,0,16,5.0,4.0,5,4,2,10,1,0,1,2,7,0,0,38,11,0
Graduation,Married,18222.0,0,0,70,12.0,4.0,19,12,6,14,1,2,0,3,8,0,0,34,12,0
Graduation,Married,56939.0,0,1,19,256.0,34.0,103,90,29,49,2,3,3,10,3,0,0,48,11,0
Graduation,Single,33697.0,1,0,34,4.0,3.0,7,0,3,11,1,1,0,2,7,0,0,54,11,1
2n Cycle,Single,65704.0,0,0,18,279.0,81.0,74,38,8,246,1,2,10,10,1,0,0,52,11,0
Master,Together,78093.0,0,0,53,368.0,32.0,639,13,43,10,1,4,7,5,1,0,0,77,11,0
Graduation,Divorced,52332.0,0,0,63,212.0,5.0,33,7,0,2,1,3,2,6,4,0,0,65,11,1
PhD,Divorced,35946.0,1,1,24,8.0,0.0,3,0,0,0,1,0,0,3,5,0,0,75,11,0
Graduation,Together,40521.0,1,1,82,12.0,0.0,5,0,0,4,1,0,1,2,5,0,0,56,11,0
Graduation,Together,75278.0,0,0,17,304.0,81.0,230,150,74,74,1,6,3,13,3,0,0,72,11,0
Graduation,Together,53187.0,1,0,66,211.0,2.0,30,7,7,10,2,4,1,6,5,0,0,54,11,0
Graduation,Together,74485.0,0,0,58,499.0,81.0,815,173,49,49,1,6,7,12,3,0,0,77,11,0
PhD,Single,62000.0,0,1,25,899.0,0.0,101,0,0,20,1,6,6,13,4,0,0,72,11,1
2n Cycle,Single,42395.0,1,1,35,48.0,13.0,57,24,15,25,4,3,1,4,7,0,0,43,10,0
PhD,Divorced,34487.0,1,1,94,19.0,18.0,33,24,1,8,3,3,0,3,9,0,0,47,12,0
2n Cycle,Married,26224.0,1,0,39,4.0,7.0,15,13,9,15,3,2,1,3,6,0,0,46,11,0
Graduation,Married,42014.0,1,0,56,244.0,15.0,108,4,15,50,6,7,1,6,8,0,1,47,12,0
Graduation,Single,30279.0,1,0,13,10.0,4.0,14,4,4,1,1,1,0,3,8,0,0,35,12,0
PhD,Divorced,68805.0,0,1,73,182.0,2.0,49,17,13,20,1,3,1,7,2,0,0,65,11,0
2n Cycle,Married,78041.0,0,0,93,482.0,35.0,553,72,160,17,1,4,4,9,2,0,0,53,12,0
Graduation,Married,63211.0,0,0,3,145.0,81.0,459,205,26,145,2,3,8,7,2,0,1,42,12,0
Basic,Married,16005.0,1,0,69,1.0,3.0,2,20,30,47,3,2,1,2,8,0,0,44,12,0
Graduation,Married,18929.0,0,0,15,32.0,0.0,8,23,4,18,1,1,0,4,6,0,0,34,11,0
PhD,Married,33569.0,1,0,10,16.0,2.0,18,3,0,24,1,1,1,2,8,0,1,41,11,1
Master,Married,20559.0,1,0,88,13.0,1.0,29,3,0,7,2,2,0,3,8,0,0,39,11,0
Master,Together,66476.0,0,1,80,742.0,28.0,152,25,9,57,2,6,8,10,4,0,0,55,11,0
Graduation,Married,76068.0,0,1,67,1115.0,12.0,128,33,12,76,1,2,3,4,6,0,0,49,12,2
Graduation,Together,67419.0,0,1,29,846.0,81.0,352,91,56,42,4,9,4,8,5,0,0,54,11,0
2n Cycle,Single,67506.0,0,1,73,90.0,38.0,67,33,36,67,1,4,1,6,3,0,0,44,10,0
PhD,Single,71691.0,0,0,0,336.0,81.0,411,240,32,43,1,4,7,5,2,0,1,66,10,0
Graduation,Married,35704.0,1,1,54,30.0,9.0,12,2,11,30,3,2,0,4,4,0,0,72,10,0
Graduation,Single,96843.0,0,0,60,448.0,71.0,951,40,17,17,1,6,11,10,2,0,1,34,11,1
Graduation,Married,81168.0,0,0,84,410.0,0.0,592,147,22,22,1,6,4,7,3,0,0,59,10,1
PhD,Married,37401.0,1,0,14,19.0,3.0,19,3,1,3,2,2,0,3,7,0,0,51,10,0
PhD,Single,52569.0,0,1,54,85.0,0.0,3,0,0,7,1,2,0,4,3,0,0,57,10,0
Master,Married,66835.0,0,0,21,620.0,26.0,195,34,17,141,1,6,4,13,2,0,0,78,11,0
Graduation,Together,70713.0,0,1,23,736.0,81.0,279,82,76,190,6,5,6,8,3,0,0,58,12,0
PhD,Together,20427.0,1,0,63,5.0,0.0,4,0,0,1,1,1,0,2,8,0,0,51,10,0
Master,Single,58308.0,0,1,77,691.0,0.0,69,10,0,130,4,2,6,3,8,0,0,60,11,0
Graduation,Married,55434.0,1,0,21,238.0,81.0,215,169,69,76,3,5,3,13,4,0,0,40,11,0
Master,Together,77882.0,0,0,29,68.0,81.0,396,188,22,15,1,3,3,5,1,0,0,43,10,0
Graduation,Married,58512.0,0,1,25,895.0,10.0,101,13,0,152,5,3,4,8,8,0,0,60,11,0
PhD,Married,58482.0,0,1,59,576.0,7.0,115,19,7,7,2,7,4,9,6,0,0,69,10,1
Master,Married,65073.0,0,0,65,629.0,17.0,177,69,0,8,1,5,3,5,2,1,0,81,11,0
